dialgraft,-58.447222,-51.822777
quadratcranky,-14.393664,-7.969597
craytugofwar,-159.764233,-18.830922
poohvireo,-159.805556,-21.202739
unicyclistamiable,-175.149644,-21.241214
heomicron,-173.961717,-18.585336
driftmvc,-176.199228,-13.238281
moderatohorn,-172.008336,-13.829969
backedammeter,-170.7105,-14.331
smackswallow,-151.360614,-22.434069
submittedwavelength,-149.524072,-23.365353
advisorlanguage,-145.509956,-17.352606
handywrist,-140.88715,-15.819928
neckedjre,-148.230697,-15.119617
nursingrash,-136.439706,-18.465861
unbalancedprotoplanet,-145.656994,-16.05415
surmiseteenagers,-146.070056,-14.436764
fattyoddball,-134.890333,-23.079861
europiumcentury,-146.884769,-15.663333
decanterbalance,-143.658369,-16.583919
lickerbond,-138.812811,-14.809458
raggedshrink,-145.245814,-14.709544
horsesmultiply,-146.616708,-15.248289
gilletteclammy,-148.717225,-14.868055
turnoverlovesick,-145.024542,-14.455781
latticelaboratory,-140.228789,-8.795603
batchquickest,-151.751286,-16.444378
xslhopeful,-147.6608,-14.954283
namibianstabbing,-151.021667,-16.687242
dronessomersault,-149.761869,-17.489972
bluetailgodwottery,-140.945886,-18.074814
applyingbaker,-152.243669,-16.426486
loindecorate,-151.465856,-16.722861
turnoverlovesick,-176.457222,-43.81
planktonuses,-61.501594,-31.282072
geologybeeping,-171.710394,-2.768122
historypant,-57.996631,-31.296944
flakyunlawful,-58.613056,-33.010278
synonympatisserie,-60.930556,-34.545889
dotwazzack,-60.480361,-31.794778
listenerabandoned,-60.785,-32.903611
earmarinated,-60.811668,-31.711666
advisorlanguage,-58.415606,-34.559175
hoovessquares,-64.207953,-31.323619
submittedwavelength,-66.29361,-30.345278
rigelpaunchy,-58.589644,-34.453189
bunchmeats,-58.789564,-34.56065
nursingrash,-57.894694,-34.972222
ischemicfrosted,-58.642756,-34.676317
handywrist,-58.612592,-34.609939
handywrist,-70.222469,-37.444692
hypergalaxyfibula,-67.620514,-39.000672
phobosstaccato,-68.792856,-32.831717
peacefulceaseless,-69.574267,-35.493597
driftmvc,-68.403854,-34.588314
peacefulceaseless,-65.750925,-28.593214
handywrist,-64.310122,-27.765617
stairsgobsmacked,-67.580314,-28.03775
barnevidence,-66.795839,-29.381636
bonelliseal,-67.438889,-29.223888
bluetailgodwottery,-65.104944,-26.840861
cleaningburnt,-68.418194,-31.571472
bismuthcolloquial,-64.261314,-33.085128
lasttaiga,-65.146283,-31.945183
fundingticket,-63.36225,-34.135444
chiselleddessicants,-62.157792,-32.683639
